time_start,time_end,model,launch_place,target,destroyed_details,carrier,launched,destroyed,source
2024-06-04,2024-06-04 08:00,Iskander-K,Crimea,"Dnipropetrovsk oblast, Dnipro raion",,,2.0,2,kpszsu/posts/pfbid02YHM7XyED78ccgXBBEw6HWRqgN28FwiFBgeG4evp84K9nvuEdg4cNtxBYKRkQ1tUUl
2024-06-04,2024-06-04,ZALA,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid02jcgc54cnoYqAnfsRTyoSnNQ8qREqFYbF2sDNpisH88VGfradwD5HMaWamZSWyhg6l
2024-06-04,2024-06-04,Unknown UAV,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid02jcgc54cnoYqAnfsRTyoSnNQ8qREqFYbF2sDNpisH88VGfradwD5HMaWamZSWyhg6l
2024-06-04,2024-06-04,Iskander-M,,Odesa oblast,,,1.0,0,PvKPivden/posts/pfbid02jcgc54cnoYqAnfsRTyoSnNQ8qREqFYbF2sDNpisH88VGfradwD5HMaWamZSWyhg6l
2024-06-03,2024-06-03 08:00,ZALA,,Mykolaiv oblast,,,1.0,1,PvKPivden/posts/pfbid0HnYDvP9KLtVAdThXt5D4ZHjFchuqk1UmDdjuvK8u3kXc1Usw5uVoDJ1jyQzJNLBAl
2024-06-03,2024-06-03 08:00,Unknown Missile,,Odesa oblast,,,1.0,1,PvKPivden/posts/pfbid0HnYDvP9KLtVAdThXt5D4ZHjFchuqk1UmDdjuvK8u3kXc1Usw5uVoDJ1jyQzJNLBAl
2024-06-03 01:00,2024-06-03 01:00,Supercam,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid038Nhqj1BQVLFjbXy9b5q7kS1f51TvFq6fRCB748PNHMbGcv2LhiWLjA3A7idr9UT4l
2024-06-03,2024-06-03,ZALA,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0a1bxREyUnRF4NgwVZ4wVhaiWDLz4Kjb7Qsxq4mA2syEK1T9RQDj9tZo29J8DP8RUl
2024-06-02 11:00,2024-06-02 11:00,Supercam,,"Dnipropetrovsk oblast, Pavlohrad Raion",,,1.0,1,pvkshid/posts/pfbid0XTBkKM1ZT1HHvQ9PZuChwCBeJ8ADHNf8i1bSuKAmnbNpVX5ChTQiavvFB12tJK5el
2024-06-02,2024-06-02 08:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Yeysk",Ukraine,"{'Odesa oblast': 5, 'Kherson oblast': NaN, 'Mykolaiv oblast': 11, 'Kyiv oblast': NaN,     'Dnipropetrovsk oblast': 2, 'Kirovohrad oblast': 2, 'Vinnytsia oblast': NaN, 'Khmelnytskyi oblast': NaN}",,25.0,24,kpszsu/posts/pfbid0dehs5HxXoNeHyJTVj7tnU3bQdVSfs9UJToMWhPJmL35hjvzxEamkK3fazthwRjdvl
2024-06-02,2024-06-02 08:00,Orlan-10,,Kharkiv oblast,,,1.0,1,pvkshid/posts/pfbid037Z67PQUZswLmVxHeXN47tygQQrvE3BzoeLpULrrsLcbPwiwLNZz8q8Y9z3YFadRrl
2024-06-02,2024-06-02 08:00,Iskander-K,Crimea,Kharkiv oblast,,,1.0,0,kpszsu/posts/pfbid0dehs5HxXoNeHyJTVj7tnU3bQdVSfs9UJToMWhPJmL35hjvzxEamkK3fazthwRjdvl
2024-06-02,2024-06-02 08:00,C-300,Donetsk oblast,east,,,1.0,0,kpszsu/posts/pfbid0dehs5HxXoNeHyJTVj7tnU3bQdVSfs9UJToMWhPJmL35hjvzxEamkK3fazthwRjdvl
2024-06-02,2024-06-02,ZALA,,Kherson oblast,,,1.0,1,PvKPivden/posts/pfbid0HnYDvP9KLtVAdThXt5D4ZHjFchuqk1UmDdjuvK8u3kXc1Usw5uVoDJ1jyQzJNLBAl
2024-06-02,2024-06-02,Iskander-M,,Odeasa oblast,,,1.0,0,PvKPivden/posts/pfbid0HnYDvP9KLtVAdThXt5D4ZHjFchuqk1UmDdjuvK8u3kXc1Usw5uVoDJ1jyQzJNLBAl
2024-06-01 19:00,2024-06-01 19:00,X-59/X-69,,"Dnipropetrovsk oblast, Kryvyi Rih Raion",,,1.0,1,pvkshid/posts/pfbid037Z67PQUZswLmVxHeXN47tygQQrvE3BzoeLpULrrsLcbPwiwLNZz8q8Y9z3YFadRrl
2024-06-01 13:00,2024-06-01 13:00,Reconnaissance UAV,,"Dnipropetrovsk oblast, Pavlohrad Raion",,,1.0,0,pvkshid/posts/pfbid0yqSKJf5S5qosyRWGvacZvMixjQHoiznUjYEJKbcZXxv5BtJaeYXXnGviuBJy9JPull
2024-06-01,2024-06-01 08:00,X-59/X-69,Zaporizhzhia oblast,Ukraine,,,3.0,0,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
2024-06-01,2024-06-01 08:00,X-101/X-555,"Saratov oblast, Caspian Sea",Ukraine,"{'Dnipropetrovsk oblast': 6, 'Zaporizhzhia oblast': 1, 'west': 18}",Tu-95MS,35.0,30,kpszsu/posts/pfbid0MQf9ZqyVqy5LbU3551ewUGdhaCxYYEC8i3UjqAXjAQYpQnAFke8m3gBmLis1ygcJl
