week,channel,launched,coverage,fatalities,war_images,war_share_out_of_total
2023-11-06,la6,50.0,0.0283018867924528,190,0.1146025878003696,0.0032494758909853
2023-11-06,t5,50.0,0.005181347150259,190,0.1639344262295081,0.0008635578583765
2023-11-13,a3,103.0,0.0175438596491228,230,0.0331950207468879,0.0005847953216374
2023-11-13,la6,103.0,0.0161290322580645,230,0.1092715231788079,0.001774193548387
2023-11-13,t5,103.0,0.0106951871657754,230,0.0991735537190082,0.0010695187165775
2023-11-20,a3,122.0,0.021551724137931,138,0.18,0.0038793103448275
2023-11-20,la6,122.0,0.0194805194805194,138,0.0939226519337016,0.0018398268398268
2023-11-20,t5,122.0,0.0053475935828877,138,0.180327868852459,0.0009803921568627
2023-11-27,a3,111.0,0.0401785714285714,159,0.1135531135531135,0.0046130952380952
2023-11-27,la6,111.0,0.0354838709677419,159,0.1342383107088989,0.0047849462365591
2023-11-27,t5,111.0,0.0310880829015544,159,0.2087912087912088,0.0065630397236614
2023-12-04,a3,154.0,0.0307017543859649,129,0.1615201900237529,0.0049707602339181
2023-12-04,la6,154.0,0.0275229357798165,129,0.1792975970425138,0.0049439347604485
2023-12-04,t5,154.0,0.015228426395939,129,0.0655737704918032,0.0010152284263959
2023-12-11,a3,175.0,0.0701754385964912,97,0.0851505711318795,0.0059941520467836
2023-12-11,la6,175.0,0.0255591054313099,97,0.1556016597510373,0.0039936102236421
2023-12-11,t5,175.0,0.0382165605095541,97,0.2273972602739726,0.0088110403397027
2023-12-18,a3,121.0,0.0398009950248756,105,0.1141078838174273,0.0045605306799336
2023-12-18,la6,121.0,0.0073260073260073,105,0.3333333333333333,0.0024420024420024
2023-12-18,t5,121.0,0.029940119760479,105,0.2171052631578947,0.0065868263473053
2023-12-25,a3,336.0,0.0575221238938053,240,0.3316326530612244,0.0191740412979351
2023-12-25,la6,336.0,0.0485933503836317,240,0.186248912097476,0.0091219096334185
2023-12-25,t5,336.0,0.032,240,0.3319672131147541,0.0108
2024-01-01,a3,326.0,0.0203045685279187,254,0.3388429752066115,0.0069373942470389
2024-01-01,la6,326.0,0.0176678445229682,254,0.132013201320132,0.0023557126030624
2024-01-01,t5,326.0,0.0194805194805194,254,0.2967032967032967,0.0058441558441558
2024-01-08,a3,105.0,0.0098039215686274,132,0.2231404958677686,0.0022058823529411
2024-01-08,la6,105.0,0.0031055900621118,132,0.0163934426229508,5.175983436853002e-05
2024-01-08,t5,105.0,0.0147058823529411,132,0.1475409836065573,0.0022058823529411
2024-01-15,a3,76.0,0.0431654676258992,136,0.1322314049586777,0.0057553956834532
2024-01-15,la6,76.0,0.0326086956521739,136,0.1597796143250688,0.0052536231884057
2024-01-15,t5,76.0,0.0101010101010101,136,0.1,0.001010101010101
2024-01-22,a3,92.0,0.0588235294117647,100,0.2745098039215686,0.0162210338680926
2024-01-22,la6,92.0,0.0299625468164794,100,0.2774327122153209,0.0083645443196004
2024-01-22,t5,92.0,0.0122699386503067,100,,
2024-01-29,a3,125.0,0.0616740088105726,154,0.1433649289099526,0.0088839941262848
2024-01-29,la6,125.0,0.0157728706624605,154,0.2417218543046357,0.003838065194532
2024-01-29,t5,125.0,0.037037037037037,154,0.3305785123966942,0.0040899795501022
2024-02-05,a3,177.0,0.0307017543859649,188,0.1472684085510688,0.00453216374269
2024-02-05,la6,177.0,0.0126582278481012,188,0.1458333333333333,0.0018459915611814
2024-02-05,t5,177.0,0.0783132530120482,188,0.1037735849056603,0.0038800705467372
2024-02-12,a3,97.0,0.1124497991967871,264,0.1270029673590504,0.0143239625167336
2024-02-12,la6,97.0,0.0660377358490566,264,0.2033227848101265,0.0134696016771488
2024-02-12,t5,97.0,0.1296296296296296,264,0.1308767471410419,0.0103413654618473
2024-02-19,a3,143.0,0.0881355932203389,313,0.1327377153797064,0.0117514124293785
2024-02-19,la6,143.0,0.0483870967741935,313,0.1585365853658536,0.0076881720430107
2024-02-19,t5,143.0,0.0855614973262032,313,0.1867612293144208,0.0243827160493827
2024-02-26,a3,92.0,0.0535714285714285,151,0.1497919556171983,0.0080357142857142
2024-02-26,la6,92.0,0.0422077922077922,151,0.1800766283524904,0.0076298701298701
