,week,launched,share_with_ukraine,a3_share_with_ukraine,la6_share_with_ukraine,t5_share_with_ukraine,fatalities,a3_war_share_out_of_total,la6_war_share_out_of_total,t5_war_share_out_of_total,count_class_one,total_seconds,combined_war_share_out_of_total,a3_share_class_1,la6_share_class_1,t5_share_class_1,total_share_class_1
14,2023-03-27,26.0,0.06199460916442048,0.07851239669421488,0.053156146179401995,0.05527638190954774,215,,0.011295681063122924,0.008207705192629816,302.0,30000,0.010066666666666666,,0.21074380165289255,0.14714714714714713,0.18482252141982863
15,2023-04-03,18.0,0.05897771952817824,0.07894736842105263,0.05734767025089606,0.03669724770642202,169,0.02072072072072072,0.016666666666666666,0.006651376146788991,412.0,32040,0.01285892634207241,0.25555555555555554,0.28911917098445594,0.17938144329896907,0.252760736196319
16,2023-04-10,2.0,0.0674931129476584,0.09170305676855896,0.04013377926421405,0.08080808080808081,224,,0.011538461538461539,0.02861952861952862,547.0,29820,0.01834339369550637,,0.28591160220994477,0.3508771929824561,0.32309509746012993
17,2023-04-17,54.0,0.08595988538681948,0.1038961038961039,0.076158940397351,0.07878787878787878,201,0.019781931464174455,0.017495395948434623,0.016464646464646463,480.0,27180,0.017660044150110375,0.26458333333333334,0.2627939142461964,0.20737913486005088,0.24132730015082957
18,2023-04-24,43.0,0.0875,0.12179487179487179,0.07389162561576355,0.07462686567164178,444,0.02361111111111111,0.013957307060755337,0.02736318407960199,721.0,33600,0.021458333333333333,0.19352014010507881,0.1878453038674033,0.3638368246968026,0.24407582938388625
19,2023-05-01,89.0,0.09380530973451327,0.14285714285714285,0.05641025641025641,0.0891089108910891,228,0.023214285714285715,0.006581196581196581,0.020957095709570956,565.0,33900,0.016666666666666666,0.16182572614107885,0.11613876319758673,0.23324150596877868,0.1766729205753596
20,2023-05-08,136.0,0.07854406130268199,0.12987012987012986,0.0392156862745098,0.07926829268292683,256,0.02813852813852814,0.009967320261437908,0.016971544715447155,549.0,31320,0.01752873563218391,0.2159468438538206,0.2525879917184265,0.2121982210927573,0.22190784155214227
21,2023-05-15,135.0,0.06948228882833787,0.1059322033898305,0.05405405405405406,0.04950495049504951,171,0.022810734463276836,0.012443693693693693,0.008498349834983498,647.0,44040,0.01469118982742961,0.21476063829787234,0.229253112033195,0.1696869851729819,0.21040650406504066
22,2023-05-22,184.0,0.05246913580246913,0.08762886597938144,0.03137254901960784,0.04522613065326633,562,0.02388316151202749,0.008169934640522876,0.020603015075376884,649.0,38880,0.016692386831275722,0.27174975562072334,0.2587991718426501,0.45137614678899085,0.31643100926377377
23,2023-05-29,180.0,0.04126547455295736,0.05263157894736842,0.036065573770491806,0.03608247422680412,320,0.013084795321637427,0.006612021857923497,0.006013745704467354,370.0,43620,0.008482347546996791,0.24689655172413794,0.1822289156626506,0.1643192488262911,0.20385674931129477
